,país,gênero,altura,peso,comida fav.,programa fav.,esporte fav.
5417,Brasil,M,196,75,Bagel,Jaspion,Basquete
5418,EUA,M,188,85,Torta de Maçã,Cops,Atletismo
5419,Brasil,M,184,85,Hamburguer,Friends,Boxe
5420,EUA,F,172,110,Tacos,WWE Smackdown,Boxe
5421,EUA,M,176,85,Clam Chowder,Jaspion,Futebol Am.
5422,EUA,F,184,105,Bagel,Jaspion,Basquete
5423,Brasil,F,184,75,Hummus,Friends,Atletismo
5424,EUA,F,196,105,Churrasco,Law and Order,Futebol Am.
5425,EUA,M,184,105,Hummus,Law and Order,Basquete
5426,EUA,M,192,125,Tacos,Cops,Boliche
5427,Brasil,M,188,95,Hummus,Law and Order,Natação
5428,Brasil,F,188,95,Bagel,Friends,Basquete
5429,EUA,M,196,70,Pizza,A Casa de Papel,Futebol Am.
5430,Brasil,F,180,95,Acarajé,Friends,Natação
5431,EUA,F,188,90,Tacos,Narcos,Boliche
5432,EUA,F,180,95,Churrasco,Law and Order,Atletismo
5433,EUA,M,184,110,Clam Chowder,Narcos,Natação
5434,Brasil,M,168,105,Arroz Trop.,Chaves,Boxe
5435,Brasil,F,192,75,Hummus,Chicago Fire,Futebol
5436,EUA,F,180,105,Clam Chowder,Narcos,Boliche
5437,EUA,M,200,85,Clam Chowder,A Usurpadora,Atletismo
5438,Brasil,F,180,95,Hummus,Chaves,Boliche
5439,EUA,F,204,120,Hamburguer,Cops,Luta Livre
5440,Brasil,F,192,105,Bagel,A Casa de Papel,Basquete
5441,EUA,M,180,95,Hummus,WWE Smackdown,Boxe
5442,Brasil,F,192,90,Feijoada,A Casa de Papel,Futebol de Salão
5443,Brasil,F,188,85,Arroz Trop.,Narcos,Atletismo
5444,EUA,F,176,85,Clam Chowder,WWE Smackdown,Basquete
5445,EUA,M,200,95,Hamburguer,WWE Smackdown,MMA
5446,EUA,F,192,95,Tacos,WWE Smackdown,Basquete
5447,Brasil,M,196,115,Feijoada,Jaspion,Natação
5448,Brasil,M,200,90,Pizza,A Usurpadora,Basquete
5449,Brasil,M,184,105,Arroz Trop.,A Grande Família,Basquete
5450,EUA,M,184,100,Pizza,A Usurpadora,Natação
5451,Brasil,F,176,95,Hamburguer,A Usurpadora,Vôlei
5452,Brasil,M,200,90,Pizza,A Casa de Papel,Boxe
5453,EUA,M,176,120,Hummus,Jaspion,Atletismo
5454,Brasil,M,184,105,Churrasco,Law and Order,Futebol Am.
5455,EUA,F,172,90,Pizza,Friends,Atletismo
5456,Brasil,M,196,60,Feijoada,Chicago Fire,Natação
5457,EUA,M,180,110,Hamburguer,A Casa de Papel,Basquete
5458,Brasil,M,188,95,Arroz Trop.,Cops,Atletismo
5459,EUA,M,180,100,Clam Chowder,Chicago Fire,Natação
5460,EUA,M,188,115,Bagel,A Usurpadora,Boxe
5461,Brasil,M,184,90,Hamburguer,A Casa de Papel,Vôlei
5462,Brasil,F,192,85,Pizza,Law and Order,Futebol de Salão
5463,Brasil,M,196,95,Tacos,Law and Order,Boxe
5464,EUA,M,196,100,Hummus,A Usurpadora,Futebol
5465,EUA,F,172,100,Tacos,Jeopardy,Luta Livre
5466,EUA,F,188,100,Hummus,Chicago Fire,Luta Livre
5467,EUA,M,200,105,Bagel,Law and Order,Natação
5468,EUA,F,200,110,Bagel,A Casa de Papel,MMA
5469,Brasil,F,192,70,Churrasco,Jeopardy,Natação
5470,EUA,M,192,75,Acarajé,Law and Order,Basebol
5471,EUA,M,200,95,Arroz Trop.,Cops,Natação
5472,Brasil,F,188,85,Hamburguer,Narcos,Natação
5473,Brasil,F,196,85,Pizza,A Usurpadora,Vôlei
5474,EUA,M,184,120,Pizza,Family Feud,Futebol Am.
5475,EUA,M,184,110,Hamburguer,Chicago Fire,Futebol Am.
5476,Brasil,F,180,110,Pizza,Friends,Boxe
5477,EUA,F,188,95,Hamburguer,Friends,Basquete
5478,Brasil,F,180,70,Bagel,Friends,Basquete
5479,EUA,F,188,110,Churrasco,A Usurpadora,Boxe
5480,EUA,M,200,85,Hamburguer,Family Feud,Boliche
5481,EUA,F,200,95,Pizza,Narcos,Basquete
5482,EUA,M,180,90,Feijoada,Jeopardy,Atletismo
5483,Brasil,M,188,80,Pizza,WWE Smackdown,Atletismo
5484,EUA,F,188,115,Churrasco,Law and Order,Basquete
5485,EUA,M,196,110,Pizza,Narcos,MMA
5486,EUA,M,200,120,Churrasco,Chicago Fire,Boxe
5487,Brasil,M,188,90,Churrasco,Jeopardy,Boxe
5488,Brasil,F,184,75,Hamburguer,Chaves,Basquete
5489,EUA,M,176,95,Hamburguer,Cops,Futebol Am.
5490,EUA,M,188,75,Hummus,Law and Order,MMA
5491,EUA,F,196,85,Hamburguer,Chicago Fire,Luta Livre
5492,Brasil,M,188,105,Acarajé,Jaspion,Boliche
5493,EUA,M,184,80,Pizza,Law and Order,Esqui
5494,EUA,F,192,85,Tacos,Law and Order,Boliche
5495,Brasil,M,196,90,Hummus,Friends,Futebol
5496,Brasil,M,192,105,Pizza,Jeopardy,Natação
5497,EUA,F,176,110,Bagel,Law and Order,Boxe
5498,Brasil,M,204,105,Hamburguer,Law and Order,Atletismo
5499,EUA,M,188,90,Bagel,A Casa de Papel,Basebol
5500,Brasil,F,176,95,Churrasco,Law and Order,Vôlei
5501,EUA,F,184,105,Pizza,WWE Smackdown,Basebol
5502,EUA,M,184,115,Churrasco,WWE Smackdown,Basquete
5503,EUA,M,196,90,Arroz Trop.,Cops,Boliche
5504,Brasil,M,180,80,Churrasco,Chicago Fire,Natação
5505,EUA,M,184,85,Clam Chowder,WWE Smackdown,Boxe
5506,Brasil,M,192,80,Pizza,Friends,Basebol
5507,EUA,F,180,110,Hummus,Law and Order,Futebol Am.
5508,Brasil,F,192,80,Churrasco,A Usurpadora,Atletismo
5509,EUA,M,172,120,Clam Chowder,Jeopardy,Atletismo
5510,EUA,F,196,105,Bagel,Friends,Boxe
5511,Brasil,F,172,85,Hamburguer,Family Feud,Luta Livre
5512,EUA,F,188,95,Churrasco,A Usurpadora,Boxe
5513,EUA,M,180,95,Hummus,Law and Order,Vôlei
5514,Brasil,M,184,100,Churrasco,Friends,Boxe
5515,Brasil,M,184,75,Feijoada,A Casa de Papel,Futebol Am.
5516,Brasil,F,184,110,Pizza,Friends,Boxe
5517,Brasil,M,204,65,Feijoada,Chicago Fire,Boxe
5518,Brasil,F,184,80,Churrasco,A Usurpadora,Natação
5519,Brasil,M,184,85,Hamburguer,Chicago Fire,Atletismo
5520,EUA,M,176,80,Churrasco,Jeopardy,Natação
5521,Brasil,F,168,90,Churrasco,Friends,Boliche
5522,Brasil,M,184,75,Pizza,Jaspion,Basquete
5523,Brasil,F,180,115,Hamburguer,Chicago Fire,Basquete
5524,Brasil,M,192,80,Hamburguer,Friends,Atletismo
5525,EUA,F,188,120,Pizza,Narcos,Futebol de Salão
5526,EUA,F,200,75,Churrasco,WWE Smackdown,MMA
5527,EUA,M,168,100,Feijoada,WWE Smackdown,Natação
5528,EUA,M,204,90,Pizza,A Usurpadora,Boliche
5529,EUA,F,196,90,Clam Chowder,Narcos,Boliche
5530,EUA,M,200,85,Hamburguer,Chicago Fire,Basquete
5531,Brasil,F,180,100,Hamburguer,WWE Smackdown,Natação
5532,EUA,F,180,85,Bagel,Chaves,Futebol Am.
5533,EUA,F,200,105,Acarajé,A Usurpadora,Luta Livre
5534,Brasil,F,184,95,Hummus,WWE Smackdown,MMA
5535,Brasil,F,192,95,Arroz Trop.,Law and Order,Futebol
5536,Brasil,F,192,80,Pizza,Chaves,Natação
5537,Brasil,M,196,85,Arroz Trop.,A Usurpadora,Basquete
5538,EUA,F,204,65,Hamburguer,Friends,Boliche
5539,Brasil,M,184,90,Arroz Trop.,Law and Order,Natação
5540,EUA,M,196,85,Arroz Trop.,Narcos,MMA
5541,EUA,M,196,75,Clam Chowder,WWE Smackdown,Futebol Am.
5542,Brasil,F,184,95,Hamburguer,Friends,Boxe
5543,EUA,F,200,90,Churrasco,WWE Smackdown,Futebol Am.
5544,EUA,M,204,75,Vatapá,WWE Smackdown,Futebol
5545,EUA,M,196,100,Clam Chowder,Jeopardy,Futebol Am.
5546,EUA,M,168,110,Churrasco,Family Feud,Atletismo
5547,EUA,M,196,75,Acarajé,Law and Order,Boxe
5548,Brasil,F,192,110,Hamburguer,Chaves,MMA
5549,Brasil,M,184,85,Arroz Trop.,WWE Smackdown,MMA
5550,Brasil,F,188,95,Hamburguer,Law and Order,Boxe
5551,EUA,F,192,120,Bagel,Narcos,Futebol
5552,Brasil,M,196,85,Hamburguer,Family Feud,Boxe
5553,EUA,F,164,100,Clam Chowder,Law and Order,Basebol
5554,Brasil,F,176,100,Churrasco,A Casa de Papel,Luta Livre
5555,Brasil,M,196,90,Clam Chowder,A Usurpadora,Atletismo
5556,EUA,M,196,110,Hamburguer,A Usurpadora,Boliche
5557,EUA,M,184,90,Bagel,Chicago Fire,Futebol Am.
5558,Brasil,F,188,90,Churrasco,WWE Smackdown,Boliche
5559,Brasil,F,192,65,Vatapá,A Casa de Papel,Luta Livre
5560,Brasil,F,176,90,Pizza,Narcos,Boxe
5561,Brasil,M,188,80,Acarajé,A Casa de Papel,Vôlei
5562,Brasil,F,188,65,Acarajé,Narcos,Boxe
5563,Brasil,F,196,100,Bagel,Narcos,Basquete
5564,Brasil,F,184,100,Hummus,Friends,Futebol
5565,EUA,F,176,85,Hummus,Law and Order,Futebol Am.
5566,EUA,F,192,105,Tacos,Law and Order,Basquete
5567,EUA,F,204,85,Tacos,Narcos,Futebol Am.
5568,EUA,M,192,70,Torta de Maçã,A Casa de Papel,Boxe
5569,EUA,F,188,85,Churrasco,Chaves,Esqui
5570,Brasil,M,204,95,Feijoada,Law and Order,Natação
5571,Brasil,M,192,110,Pizza,Jaspion,MMA
5572,EUA,F,188,95,Pizza,Law and Order,Futebol de Salão
5573,EUA,F,188,120,Clam Chowder,WWE Smackdown,Basebol
5574,EUA,F,192,90,Hummus,Friends,Esqui
5575,EUA,M,192,115,Vatapá,Law and Order,Basquete
5576,EUA,F,176,95,Hamburguer,Jeopardy,Basquete
5577,EUA,F,176,95,Hummus,Law and Order,Boliche
5578,EUA,F,180,95,Hamburguer,Chaves,Basebol
5579,EUA,F,180,85,Bagel,Narcos,Futebol
5580,Brasil,M,192,115,Bagel,A Usurpadora,Futebol de Salão
5581,EUA,F,176,70,Tacos,Friends,Atletismo
5582,Brasil,F,172,60,Pizza,Chaves,Boxe
5583,EUA,F,196,100,Clam Chowder,Friends,Boxe
5584,Brasil,F,176,100,Feijoada,Chicago Fire,MMA
5585,EUA,M,196,115,Pizza,Jaspion,Boxe
5586,Brasil,M,188,115,Acarajé,A Grande Família,Atletismo
5587,Brasil,M,204,85,Hummus,Friends,Natação
5588,EUA,F,192,95,Hamburguer,Law and Order,Luta Livre
5589,EUA,M,192,80,Churrasco,A Casa de Papel,Natação
5590,Brasil,M,196,95,Pizza,Narcos,Boxe
5591,Brasil,F,180,100,Feijoada,Jeopardy,Futebol
5592,EUA,M,192,95,Tacos,Family Feud,Basquete
5593,Brasil,F,184,90,Bagel,Narcos,Atletismo
5594,Brasil,F,184,55,Hummus,Narcos,Atletismo
5595,EUA,F,176,105,Vatapá,Chaves,Boxe
5596,EUA,M,200,80,Pizza,Friends,Basebol
5597,Brasil,F,172,55,Hummus,Chicago Fire,Boxe
5598,Brasil,F,192,85,Hamburguer,WWE Smackdown,Vôlei
5599,Brasil,F,204,100,Churrasco,Narcos,Vôlei
5600,Brasil,M,184,75,Acarajé,A Usurpadora,Boxe
5601,Brasil,M,168,85,Acarajé,Friends,Natação
5602,Brasil,M,196,110,Churrasco,Narcos,Futebol Am.
5603,EUA,F,192,90,Hamburguer,Narcos,Boliche
5604,Brasil,F,176,80,Churrasco,A Grande Família,Futebol
5605,EUA,M,196,105,Pizza,WWE Smackdown,Boxe
5606,EUA,F,196,95,Hamburguer,Chaves,MMA
5607,Brasil,F,200,75,Churrasco,Friends,Natação
5608,EUA,M,192,75,Bagel,Chicago Fire,Basebol
5609,EUA,F,200,95,Feijoada,Chicago Fire,Atletismo
5610,Brasil,M,188,70,Acarajé,A Casa de Papel,Boxe
5611,EUA,M,180,95,Tacos,Chicago Fire,Boxe
5612,EUA,F,172,85,Churrasco,Jeopardy,Futebol Am.
5613,EUA,F,196,85,Clam Chowder,Friends,Natação
5614,Brasil,F,200,95,Arroz Trop.,A Usurpadora,Natação
5615,Brasil,F,188,90,Pizza,WWE Smackdown,Futebol Am.
5616,Brasil,M,184,90,Feijoada,Narcos,Natação
5617,Brasil,F,200,75,Bagel,Jeopardy,Vôlei
5618,EUA,M,188,115,Hamburguer,Law and Order,Luta Livre
5619,Brasil,F,196,100,Hamburguer,A Usurpadora,Atletismo
5620,EUA,M,168,120,Pizza,Jeopardy,Atletismo
5621,Brasil,F,196,65,Feijoada,A Usurpadora,Boxe
5622,Brasil,F,184,85,Vatapá,Narcos,MMA
5623,Brasil,M,196,90,Hamburguer,Narcos,Atletismo
5624,EUA,M,172,90,Bagel,Family Feud,Futebol Am.
5625,Brasil,M,168,90,Acarajé,A Casa de Papel,Atletismo
5626,Brasil,F,200,90,Hummus,Chaves,Boxe
5627,Brasil,M,200,80,Feijoada,Narcos,Basquete
5628,EUA,M,184,125,Feijoada,Jeopardy,Basquete
5629,Brasil,F,184,80,Bagel,A Casa de Papel,Boliche
5630,EUA,M,196,95,Feijoada,Friends,Boxe
5631,Brasil,F,184,90,Churrasco,A Casa de Papel,MMA
5632,EUA,F,168,90,Feijoada,Friends,Luta Livre
5633,EUA,M,200,90,Hummus,Law and Order,Futebol Am.
5634,Brasil,M,192,100,Tacos,Law and Order,MMA
5635,EUA,F,184,80,Hummus,Jaspion,Boliche
5636,EUA,M,196,100,Hamburguer,WWE Smackdown,Atletismo
5637,Brasil,M,192,90,Feijoada,A Casa de Papel,Natação
5638,EUA,M,196,110,Feijoada,Friends,Luta Livre
5639,EUA,M,200,70,Churrasco,Law and Order,Boliche
5640,Brasil,F,168,70,Feijoada,A Grande Família,Boxe
5641,Brasil,F,184,70,Pizza,Jeopardy,Boxe
5642,Brasil,M,180,90,Arroz Trop.,Friends,Boliche
5643,EUA,F,184,100,Feijoada,Chicago Fire,Atletismo
5644,EUA,F,184,85,Clam Chowder,Chicago Fire,Basebol
5645,Brasil,M,180,90,Hummus,Jaspion,Vôlei
5646,Brasil,M,180,95,Bagel,Chaves,Boliche
5647,Brasil,F,200,80,Pizza,WWE Smackdown,MMA
5648,Brasil,M,180,70,Bagel,Chaves,Natação
5649,Brasil,F,184,85,Hummus,Chaves,Luta Livre
5650,EUA,M,176,90,Arroz Trop.,Chicago Fire,Basebol
5651,Brasil,M,188,110,Hamburguer,Jeopardy,Atletismo
5652,EUA,F,204,110,Torta de Maçã,Law and Order,Luta Livre
5653,EUA,F,188,85,Hamburguer,WWE Smackdown,Basquete
5654,Brasil,F,204,70,Hummus,A Usurpadora,Boxe
5655,Brasil,M,184,85,Arroz Trop.,Friends,Futebol
5656,Brasil,F,184,85,Acarajé,Friends,Natação
5657,EUA,M,184,85,Hummus,Law and Order,Atletismo
5658,Brasil,M,188,75,Arroz Trop.,Law and Order,Luta Livre
5659,Brasil,F,192,85,Feijoada,A Casa de Papel,Natação
5660,Brasil,F,204,90,Churrasco,Friends,Atletismo
5661,Brasil,F,188,75,Bagel,Chaves,Basquete
5662,EUA,M,188,120,Tacos,Narcos,Luta Livre
5663,EUA,F,176,90,Tacos,Family Feud,Basebol
5664,EUA,F,180,75,Clam Chowder,Jeopardy,Boliche
5665,EUA,M,192,115,Vatapá,Narcos,Boxe
5666,EUA,M,184,105,Pizza,WWE Smackdown,Boliche
5667,Brasil,M,176,60,Feijoada,Law and Order,MMA
5668,EUA,F,188,100,Churrasco,Narcos,Basebol
5669,EUA,F,200,115,Hummus,Narcos,Basquete
5670,Brasil,M,180,75,Tacos,Friends,MMA
5671,EUA,M,208,105,Tacos,Narcos,Esqui
5672,Brasil,M,192,80,Churrasco,Law and Order,Boxe
5673,EUA,F,196,95,Hummus,Chicago Fire,Boliche
5674,Brasil,F,196,110,Feijoada,Law and Order,Basquete
5675,EUA,M,176,100,Hummus,Narcos,Luta Livre
5676,Brasil,M,184,85,Feijoada,WWE Smackdown,Boxe
5677,EUA,F,172,95,Churrasco,Friends,Basebol
5678,EUA,M,172,120,Feijoada,Narcos,Boxe
5679,Brasil,F,176,95,Pizza,A Casa de Papel,Futebol
5680,EUA,M,184,115,Hamburguer,A Casa de Papel,MMA
5681,EUA,M,180,120,Clam Chowder,Family Feud,Futebol Am.
5682,EUA,F,176,95,Hamburguer,Law and Order,Basquete
5683,EUA,F,176,75,Bagel,A Usurpadora,Futebol Am.
5684,Brasil,M,184,65,Churrasco,Friends,Futebol
5685,Brasil,F,180,95,Clam Chowder,A Usurpadora,Basquete
5686,EUA,M,180,85,Arroz Trop.,Friends,Basquete
5687,Brasil,F,188,90,Churrasco,Law and Order,Natação
5688,EUA,F,208,70,Arroz Trop.,Chicago Fire,Boxe
5689,EUA,M,200,90,Hummus,Jeopardy,Vôlei
5690,Brasil,M,200,120,Pizza,Friends,Basquete
5691,Brasil,F,176,100,Hamburguer,Narcos,Basquete
5692,EUA,M,200,105,Hummus,Friends,Basebol
5693,Brasil,M,188,100,Pizza,Chicago Fire,Natação
5694,EUA,F,176,110,Hummus,Friends,Futebol Am.
5695,Brasil,M,200,85,Feijoada,A Casa de Papel,Basquete
5696,Brasil,F,180,90,Churrasco,Chicago Fire,Boliche
5697,EUA,M,172,100,Hamburguer,Law and Order,Natação
5698,EUA,M,200,90,Pizza,WWE Smackdown,Futebol Am.
5699,EUA,F,188,85,Hamburguer,Family Feud,Basquete
5700,Brasil,M,172,75,Hamburguer,A Casa de Papel,Futebol Am.
5701,EUA,F,168,95,Pizza,Family Feud,Boxe
5702,Brasil,F,192,75,Clam Chowder,Law and Order,Futebol
5703,EUA,F,204,100,Hamburguer,Family Feud,Futebol Am.
5704,EUA,F,188,105,Arroz Trop.,A Usurpadora,Atletismo
5705,Brasil,M,192,90,Churrasco,A Usurpadora,Luta Livre
5706,EUA,F,196,100,Feijoada,Chicago Fire,Atletismo
5707,EUA,M,180,95,Pizza,Chicago Fire,Boliche
5708,Brasil,M,192,85,Tacos,A Usurpadora,Natação
5709,Brasil,M,196,90,Clam Chowder,Narcos,Vôlei
5710,Brasil,M,188,120,Bagel,Chaves,Boliche
5711,EUA,F,196,75,Feijoada,WWE Smackdown,Futebol Am.
5712,Brasil,F,188,100,Bagel,Friends,Boliche
5713,EUA,F,188,95,Bagel,WWE Smackdown,Atletismo
5714,EUA,F,180,80,Bagel,Jeopardy,Futebol Am.
5715,EUA,F,200,95,Bagel,Narcos,Futebol Am.
5716,Brasil,F,200,115,Churrasco,Friends,Basquete
5717,Brasil,F,180,100,Feijoada,Friends,Natação
5718,EUA,F,180,110,Hamburguer,Friends,Boxe
5719,EUA,M,172,120,Churrasco,WWE Smackdown,Futebol Am.
5720,Brasil,M,196,95,Arroz Trop.,Friends,Basquete
5721,EUA,M,196,90,Torta de Maçã,Chaves,MMA
5722,EUA,F,184,90,Tacos,WWE Smackdown,Luta Livre
5723,Brasil,F,168,80,Hummus,Law and Order,Natação
5724,EUA,F,180,90,Bagel,Jeopardy,Basquete
5725,EUA,F,188,75,Bagel,Chicago Fire,Basquete
5726,Brasil,M,196,105,Churrasco,Friends,Atletismo
5727,EUA,M,200,100,Bagel,A Usurpadora,Boxe
5728,Brasil,F,204,60,Pizza,Friends,Boliche
5729,Brasil,M,176,85,Acarajé,Family Feud,Boxe
5730,Brasil,F,184,105,Acarajé,Friends,Natação
5731,Brasil,F,168,100,Arroz Trop.,A Casa de Papel,Futebol
5732,Brasil,F,208,105,Hamburguer,Narcos,Natação
5733,EUA,F,192,110,Tacos,Narcos,MMA
5734,EUA,M,188,95,Clam Chowder,Law and Order,Futebol
5735,Brasil,M,192,75,Bagel,Jeopardy,Atletismo
5736,EUA,F,196,95,Hamburguer,A Casa de Papel,Basquete
5737,Brasil,M,204,105,Bagel,Narcos,Boxe
5738,EUA,M,184,95,Hummus,A Usurpadora,Esqui
5739,EUA,M,184,100,Pizza,Narcos,MMA
5740,Brasil,F,192,90,Acarajé,Narcos,Futebol de Salão
5741,EUA,M,180,115,Feijoada,Law and Order,Boliche
5742,EUA,M,192,105,Hamburguer,Chicago Fire,Basquete
5743,EUA,F,184,100,Tacos,Family Feud,Boxe
5744,Brasil,M,200,115,Feijoada,Friends,Boxe
5745,EUA,M,184,100,Torta de Maçã,WWE Smackdown,Boxe
5746,EUA,F,204,85,Hummus,Chicago Fire,Futebol Am.
5747,EUA,M,204,110,Churrasco,Friends,Basquete
5748,EUA,M,176,80,Tacos,Narcos,Boliche
5749,Brasil,M,188,90,Pizza,Chicago Fire,Boliche
5750,EUA,M,176,110,Hamburguer,Chicago Fire,Boxe
5751,Brasil,F,172,90,Arroz Trop.,Friends,Futebol Am.
5752,Brasil,F,180,75,Hummus,Jaspion,Atletismo
5753,EUA,M,184,115,Clam Chowder,Law and Order,Boxe
5754,Brasil,F,172,85,Churrasco,A Usurpadora,Boxe
5755,Brasil,F,180,70,Acarajé,Chicago Fire,Vôlei
5756,Brasil,F,180,65,Arroz Trop.,Chicago Fire,Basebol
5757,EUA,F,176,95,Hamburguer,Chicago Fire,Basquete
5758,EUA,M,184,80,Churrasco,Friends,Basquete
5759,EUA,F,196,90,Churrasco,Family Feud,Futebol
5760,EUA,F,176,95,Clam Chowder,Friends,Esqui
5761,EUA,F,180,70,Hummus,Narcos,Basquete
5762,Brasil,F,176,70,Pizza,WWE Smackdown,Atletismo
5763,EUA,M,180,105,Hummus,Chicago Fire,Futebol Am.
5764,EUA,M,204,100,Hamburguer,Law and Order,Futebol Am.
5765,EUA,M,172,65,Pizza,Law and Order,Basebol
5766,EUA,F,176,110,Hamburguer,Jeopardy,Boliche
5767,EUA,F,180,120,Bagel,Friends,Basquete
5768,EUA,M,192,85,Tacos,Jeopardy,Basebol
5769,EUA,F,172,95,Hamburguer,WWE Smackdown,Basquete
5770,Brasil,M,208,105,Clam Chowder,A Usurpadora,Natação
5771,Brasil,F,164,60,Arroz Trop.,Chaves,Vôlei
5772,Brasil,M,176,80,Acarajé,A Usurpadora,Natação
5773,EUA,M,192,90,Hamburguer,Family Feud,Basebol
5774,EUA,M,192,75,Feijoada,Law and Order,Atletismo
5775,Brasil,F,192,80,Arroz Trop.,A Usurpadora,Atletismo
5776,EUA,F,192,105,Hummus,Narcos,Basquete
5777,Brasil,M,192,80,Hamburguer,WWE Smackdown,Futebol Am.
5778,Brasil,M,192,105,Hamburguer,Cops,Vôlei
5779,Brasil,M,188,100,Pizza,Narcos,Futebol Am.
5780,EUA,M,200,115,Hummus,Jaspion,Boxe
5781,EUA,M,204,125,Bagel,Law and Order,Atletismo
5782,EUA,M,188,105,Churrasco,Narcos,Boliche
5783,Brasil,M,196,85,Bagel,Jaspion,Boliche
5784,Brasil,M,196,95,Hummus,Chaves,Atletismo
5785,Brasil,F,196,85,Bagel,Jeopardy,Natação
5786,Brasil,F,176,90,Feijoada,A Casa de Papel,Futebol de Salão
5787,Brasil,F,196,80,Pizza,WWE Smackdown,Boxe
5788,Brasil,M,180,90,Arroz Trop.,A Grande Família,Boxe
5789,EUA,F,188,100,Arroz Trop.,Chicago Fire,Natação
5790,Brasil,F,176,60,Pizza,A Casa de Papel,Futebol Am.
5791,EUA,M,208,90,Clam Chowder,Law and Order,Natação
5792,Brasil,F,188,100,Pizza,Friends,Futebol de Salão
5793,Brasil,F,180,75,Arroz Trop.,Friends,Basquete
5794,Brasil,F,164,80,Clam Chowder,Law and Order,Boliche
5795,Brasil,M,176,85,Acarajé,Chaves,Atletismo
5796,EUA,F,188,80,Bagel,Law and Order,Futebol Am.
5797,Brasil,F,168,105,Feijoada,Jeopardy,Natação
5798,EUA,F,204,105,Hummus,Friends,Boliche
5799,Brasil,F,188,105,Vatapá,A Casa de Papel,Natação
5800,Brasil,F,184,85,Feijoada,Friends,Vôlei
5801,EUA,M,164,75,Churrasco,Chicago Fire,Basquete
5802,Brasil,M,192,90,Feijoada,A Usurpadora,Natação
5803,EUA,M,172,80,Hamburguer,Narcos,Luta Livre
5804,Brasil,F,192,100,Arroz Trop.,Chicago Fire,Futebol Am.
5805,EUA,M,192,100,Hummus,A Casa de Papel,Natação
5806,Brasil,F,200,85,Bagel,Chaves,Atletismo
5807,EUA,F,188,95,Hamburguer,Friends,Boliche
5808,Brasil,M,196,105,Feijoada,WWE Smackdown,Boliche
5809,Brasil,F,176,75,Hamburguer,A Casa de Papel,Futebol
5810,Brasil,M,188,105,Pizza,Jaspion,Atletismo
5811,Brasil,F,184,65,Hamburguer,A Casa de Papel,Luta Livre
5812,EUA,M,208,100,Hamburguer,WWE Smackdown,Basebol
5813,EUA,F,172,85,Hamburguer,Jaspion,Basebol
5814,EUA,M,196,85,Hummus,A Usurpadora,Atletismo
5815,EUA,F,188,95,Hamburguer,Chicago Fire,Luta Livre
5816,Brasil,F,204,80,Feijoada,A Casa de Papel,Futebol
5817,EUA,F,192,105,Bagel,WWE Smackdown,Natação
5818,EUA,M,188,85,Hummus,Family Feud,Atletismo
5819,EUA,M,192,75,Tacos,Law and Order,Boxe
5820,Brasil,F,188,80,Hummus,WWE Smackdown,Basquete
5821,EUA,M,192,85,Hummus,A Casa de Papel,Boliche
5822,EUA,M,204,90,Bagel,WWE Smackdown,Basebol
5823,EUA,M,188,95,Churrasco,Cops,Boxe
5824,EUA,F,192,85,Bagel,WWE Smackdown,Atletismo
5825,EUA,M,172,80,Hummus,WWE Smackdown,Boliche
5826,EUA,M,192,90,Feijoada,Chicago Fire,Basebol
5827,EUA,F,192,115,Hummus,WWE Smackdown,Atletismo
5828,Brasil,F,188,65,Pizza,A Usurpadora,Vôlei
5829,EUA,F,196,60,Pizza,Friends,Boliche
5830,EUA,F,188,115,Hummus,A Casa de Papel,Natação
5831,Brasil,F,192,70,Hamburguer,Friends,MMA
5832,Brasil,M,196,75,Feijoada,Family Feud,Futebol de Salão
5833,Brasil,F,172,85,Bagel,A Usurpadora,Atletismo
5834,Brasil,F,200,85,Hummus,Narcos,Atletismo
5835,Brasil,M,180,95,Tacos,WWE Smackdown,Boliche
5836,Brasil,M,168,90,Pizza,Chaves,Futebol
5837,EUA,M,200,115,Tacos,Law and Order,MMA
5838,Brasil,F,184,90,Bagel,A Usurpadora,Vôlei
5839,Brasil,M,192,65,Churrasco,Law and Order,Natação
5840,EUA,M,184,85,Clam Chowder,Law and Order,Basebol
5841,Brasil,F,188,90,Hummus,Narcos,Futebol Am.
5842,Brasil,F,200,70,Bagel,Law and Order,Futebol Am.
5843,EUA,F,172,95,Pizza,Chicago Fire,Atletismo
5844,EUA,F,180,115,Hamburguer,Friends,Futebol Am.
5845,EUA,F,192,105,Acarajé,Friends,Boxe
5846,Brasil,M,196,100,Tacos,A Usurpadora,Atletismo
5847,EUA,F,188,90,Arroz Trop.,WWE Smackdown,Esqui
5848,EUA,F,204,100,Hummus,A Casa de Papel,Boliche
5849,Brasil,F,168,120,Acarajé,A Grande Família,Boxe
5850,Brasil,F,180,75,Clam Chowder,Chaves,Natação
5851,EUA,F,188,85,Pizza,Jeopardy,Esqui
5852,Brasil,M,200,110,Vatapá,Friends,Futebol
5853,Brasil,F,188,85,Hamburguer,Family Feud,Atletismo
5854,Brasil,F,200,80,Pizza,A Casa de Papel,Vôlei
5855,Brasil,F,180,90,Clam Chowder,Law and Order,MMA
5856,Brasil,M,184,70,Vatapá,Narcos,Luta Livre
5857,EUA,F,180,105,Pizza,Chicago Fire,Futebol Am.
5858,EUA,M,188,90,Hummus,Friends,Natação
